,cutoff_time,num_buildings_built,num_buildings_destroyed,num_buildings_lost,num_soldiers_built,num_soldiers_destroyed,num_soldiers_lost,num_workers_built,num_workers_destroyed,num_workers_lost,result
0,1715.0,25,0,8,2,0,0,19,0,0,0
1,1715.0,18,8,0,0,0,0,19,0,0,1
2,3417.0,39,0,17,2,0,0,28,0,3,0
3,3417.0,23,17,0,1,0,0,24,3,0,1
4,9645.0,158,11,116,73,26,58,69,0,45,0
5,9645.0,49,116,11,48,58,26,33,45,0,1
6,4577.0,54,5,26,17,0,1,30,0,4,0
7,4577.0,28,26,5,3,1,0,32,4,0,1
8,11542.0,239,6,173,110,19,24,102,0,20,0
9,11542.0,68,173,6,44,24,19,85,20,0,1
10,24597.0,653,19,570,995,179,954,112,62,60,0
11,24597.0,96,570,19,223,954,179,122,60,62,1
12,1116.0,23,0,5,2,0,0,16,0,0,1
13,1116.0,17,5,0,0,0,0,16,0,0,0
14,1512.0,25,0,7,2,0,0,18,0,0,1
15,1512.0,18,7,0,0,0,0,18,0,0,0
16,17286.0,502,49,379,533,102,438,126,64,44,1
17,17286.0,116,379,49,128,438,102,82,44,64,0
18,427.0,20,0,1,1,0,0,13,0,0,1
19,427.0,16,1,0,0,0,0,14,0,0,0
20,1897.0,26,0,8,2,0,0,19,1,0,1
21,1897.0,19,8,0,0,0,0,19,0,1,0
22,8822.0,130,29,91,82,7,26,52,2,10,1
23,8822.0,69,91,29,17,26,7,57,10,2,0
24,8176.0,135,50,95,62,0,5,75,1,9,0
25,8176.0,86,95,50,13,5,0,56,9,1,1
26,16825.0,443,69,293,404,75,339,134,34,43,0
27,16825.0,137,293,69,101,339,75,82,43,34,1
28,28586.0,894,70,763,1234,401,1183,161,65,72,0
29,28586.0,145,763,70,492,1183,401,127,72,65,1
30,2545.0,19,0,0,0,0,0,19,0,0,0
31,2545.0,19,0,0,0,0,0,21,0,0,1
32,8432.0,46,10,2,24,1,2,66,1,10,0
33,8432.0,50,2,10,13,2,1,62,10,1,1
34,17248.0,80,10,32,149,121,144,103,1,73,0
35,17248.0,66,32,10,150,144,121,65,73,1,1
36,3970.0,26,2,2,3,0,1,25,1,0,0
37,3970.0,27,2,2,2,1,0,28,0,1,1
38,6799.0,34,14,2,23,2,5,45,1,3,0
39,6799.0,47,2,14,8,5,2,47,3,1,1
40,16648.0,70,16,2,134,58,120,82,6,22,0
41,16648.0,84,2,16,85,120,58,81,22,6,1
42,1027.0,17,0,0,0,0,0,15,0,0,0
43,1027.0,17,0,0,0,0,0,16,0,0,1
44,4296.0,24,0,0,2,0,0,27,0,1,0
45,4296.0,24,0,0,2,0,0,31,1,0,1
46,13973.0,55,3,5,107,60,91,63,6,39,0
47,13973.0,52,5,3,100,91,60,63,39,6,1
48,2631.0,19,11,0,0,0,0,20,1,0,0
49,2631.0,48,0,11,2,0,0,22,0,1,1
50,3118.0,20,14,0,2,0,0,22,3,0,0
51,3118.0,54,0,14,5,0,0,23,0,3,1
52,18760.0,62,355,22,163,197,140,115,32,98,0
53,18760.0,443,22,355,279,140,197,102,98,32,1
54,4713.0,26,23,1,12,8,1,24,6,3,0
55,4713.0,59,1,23,27,1,8,22,3,6,1
56,9671.0,33,76,1,24,28,14,49,14,7,0
57,9671.0,135,1,76,59,14,28,61,7,14,1
58,17436.0,59,296,4,58,156,57,119,31,68,0
59,17436.0,368,4,296,198,57,156,102,68,31,1
60,2124.0,19,10,0,0,0,0,19,1,0,1
61,2124.0,28,0,10,2,0,0,21,0,1,0
62,2417.0,19,11,0,0,0,0,19,1,0,1
63,2417.0,29,0,11,2,0,0,22,0,1,0
64,7855.0,38,70,2,16,14,6,52,19,8,1
65,7855.0,110,2,70,42,6,14,48,8,19,0
66,1019.0,17,5,0,0,0,0,15,0,0,1
67,1019.0,83,0,5,2,0,0,16,0,0,0
68,10963.0,50,146,2,31,20,9,88,15,10,1
69,10963.0,284,2,146,62,9,20,105,10,15,0
70,36988.0,153,1385,44,230,1020,191,184,155,143,1
71,36988.0,1537,44,1385,1098,191,1020,195,143,155,0
72,4540.0,23,29,0,2,0,1,29,3,1,0
73,4540.0,96,0,29,13,1,0,35,1,3,1
74,9466.0,46,120,0,16,7,1,79,15,9,0
75,9466.0,226,0,120,51,1,7,93,9,15,1
76,25615.0,98,853,42,185,555,176,199,85,174,0
77,25615.0,971,42,853,634,176,555,134,174,85,1
78,4969.0,35,6,10,5,0,0,27,2,1,1
79,4969.0,33,10,6,4,0,0,25,1,2,0
80,6090.0,41,14,12,6,0,2,33,8,1,1
81,6090.0,42,12,14,6,2,0,30,1,8,0
82,16649.0,75,28,20,91,67,51,58,51,22,1
83,16649.0,74,20,28,72,51,67,79,22,51,0
84,2747.0,23,0,0,0,0,0,23,0,0,1
85,2747.0,23,0,0,0,0,0,23,0,0,0
86,5861.0,37,12,10,6,0,0,30,14,9,1
87,5861.0,39,10,12,8,0,0,27,9,14,0
88,11950.0,48,30,15,23,18,4,58,18,19,1
89,11950.0,61,15,30,22,4,18,40,19,18,0
