,id,owner_name,owner_is_human,is_army,is_building,is_worker,started_at,finished_at,died_at
Athyva100139016,100139016,Athyva,True,NA,NA,NA,9454,9454,NA
Athyva100401153,100401153,Athyva,True,NA,NA,NA,9220,9220,NA
Athyva100663297,100663297,Athyva,True,NA,NA,NA,9225,9225,NA
Athyva100925442,100925442,Athyva,True,NA,NA,NA,9965,9965,NA
Athyva101449729,101449729,Athyva,True,NA,NA,NA,9966,9966,NA
Athyva102236172,102236172,Athyva,True,NA,NA,NA,10268,10268,10833
Athyva102498313,102498313,Athyva,True,NA,NA,NA,10242,10242,11657
Athyva102760457,102760457,Athyva,True,NA,NA,NA,10255,10255,NA
Athyva103022603,103022603,Athyva,True,NA,NA,NA,10549,10822,NA
Athyva103284740,103284740,Athyva,True,NA,NA,NA,10260,10260,NA
Athyva104071169,104071169,Athyva,True,NA,NA,NA,10272,10272,11657
Athyva104333314,104333314,Athyva,True,NA,NA,NA,10451,10451,NA
Athyva104857602,104857602,Athyva,True,NA,NA,NA,10462,10462,NA
Athyva105119747,105119747,Athyva,True,NA,NA,NA,10540,NA,NA
Athyva105381890,105381890,Athyva,True,NA,NA,NA,10466,10466,NA
Athyva105644034,105644034,Athyva,True,NA,NA,NA,10528,11088,NA
Athyva105906178,105906178,Athyva,True,NA,NA,NA,10517,11077,NA
Athyva106168321,106168321,Athyva,True,NA,NA,NA,10472,10472,NA
Athyva106692609,106692609,Athyva,True,NA,NA,NA,10660,10660,NA
Athyva107479043,107479043,Athyva,True,NA,NA,NA,11718,11718,NA
Athyva107741185,107741185,Athyva,True,NA,NA,NA,10805,10805,NA
Athyva108003351,108003351,Athyva,True,NA,NA,NA,11402,11402,NA
Athyva108265483,108265483,Athyva,True,NA,NA,NA,11026,11299,NA
Athyva108527630,108527630,Athyva,True,NA,NA,NA,11111,11111,NA
Athyva108789761,108789761,Athyva,True,NA,NA,NA,10918,10918,NA
Athyva109314073,109314073,Athyva,True,NA,NA,NA,11752,11752,NA
Athyva109576218,109576218,Athyva,True,NA,NA,NA,11606,11606,NA
Athyva109838337,109838337,Athyva,True,NA,NA,NA,10922,10922,NA
Athyva34078733,34078733,Athyva,True,NA,NA,NA,10470,10470,11122
Athyva34078748,34078748,Athyva,True,NA,NA,NA,11559,11559,NA
Athyva42991617,42991617,Athyva,True,NA,NA,NA,0,0,NA
Athyva43253761,43253761,Athyva,True,NA,NA,NA,0,0,NA
Athyva43515905,43515905,Athyva,True,NA,NA,NA,0,0,NA
Athyva43778049,43778049,Athyva,True,NA,NA,NA,0,0,NA
Athyva44040193,44040193,Athyva,True,NA,NA,NA,0,0,NA
Athyva44302337,44302337,Athyva,True,NA,NA,NA,0,0,NA
Athyva44564481,44564481,Athyva,True,NA,NA,NA,0,0,NA
Athyva44826625,44826625,Athyva,True,NA,NA,NA,0,0,NA
Athyva45088769,45088769,Athyva,True,NA,NA,NA,0,0,NA
Athyva45350913,45350913,Athyva,True,NA,NA,NA,0,0,NA
Athyva45613057,45613057,Athyva,True,NA,NA,NA,0,0,NA
Athyva45875201,45875201,Athyva,True,NA,NA,NA,0,0,NA
Athyva46137345,46137345,Athyva,True,NA,NA,NA,0,0,NA
Athyva46399489,46399489,Athyva,True,NA,NA,NA,0,0,NA
Athyva46661633,46661633,Athyva,True,NA,NA,NA,0,0,NA
Athyva50331649,50331649,Athyva,True,NA,NA,NA,0,0,NA
Athyva50593793,50593793,Athyva,True,NA,NA,NA,0,0,295
Athyva50855937,50855937,Athyva,True,NA,NA,NA,0,0,690
Athyva50855938,50855938,Athyva,True,NA,NA,NA,695,695,11089
Athyva50855941,50855941,Athyva,True,NA,NA,NA,11107,11107,11606
Athyva50855942,50855942,Athyva,True,NA,NA,NA,11609,11609,NA
Athyva51118081,51118081,Athyva,True,NA,NA,NA,0,0,695
Athyva51380225,51380225,Athyva,True,NA,NA,NA,0,0,6258
Athyva51380226,51380226,Athyva,True,NA,NA,NA,6278,6278,NA
Athyva51642369,51642369,Athyva,True,NA,NA,NA,0,0,8112
Athyva51642378,51642378,Athyva,True,NA,NA,NA,11398,11398,NA
Athyva51904513,51904513,Athyva,True,NA,NA,NA,0,0,NA
Athyva52166657,52166657,Athyva,True,NA,NA,NA,0,0,6277
Athyva52166658,52166658,Athyva,True,NA,NA,NA,6291,6291,6917
Athyva52166659,52166659,Athyva,True,NA,NA,NA,6922,6922,NA
Athyva52428801,52428801,Athyva,True,NA,NA,NA,0,0,NA
Athyva52690945,52690945,Athyva,True,NA,NA,NA,0,0,6204
Athyva52690947,52690947,Athyva,True,NA,NA,NA,6470,6470,6922
Athyva52690948,52690948,Athyva,True,NA,NA,NA,6926,6926,NA
Athyva52953089,52953089,Athyva,True,NA,NA,NA,0,0,NA
Athyva53215233,53215233,Athyva,True,NA,NA,NA,0,0,1884
Athyva53215234,53215234,Athyva,True,NA,NA,NA,1970,1970,2271
Athyva53477377,53477377,Athyva,True,NA,NA,NA,0,0,6541
Athyva53477410,53477410,Athyva,True,NA,NA,NA,11644,11644,NA
Athyva53739521,53739521,Athyva,True,NA,NA,NA,0,0,NA
Athyva54001665,54001665,Athyva,True,NA,NA,NA,0,0,6295
Athyva54001666,54001666,Athyva,True,NA,NA,NA,6306,6306,6926
Athyva54001667,54001667,Athyva,True,NA,NA,NA,6930,6930,NA
Athyva54263809,54263809,Athyva,True,NA,NA,NA,0,0,6185
Athyva54263810,54263810,Athyva,True,NA,NA,NA,6193,6193,10909
Athyva54263811,54263811,Athyva,True,NA,NA,NA,10914,10914,11640
Athyva54525953,54525953,Athyva,True,NA,NA,NA,0,0,4717
Athyva54525957,54525957,Athyva,True,NA,NA,NA,4789,4789,5108
Athyva54525959,54525959,Athyva,True,NA,NA,NA,5194,5194,5487
Athyva54525960,54525960,Athyva,True,NA,NA,NA,5490,5490,8265
Athyva54525961,54525961,Athyva,True,NA,NA,NA,8422,8698,NA
Athyva54788097,54788097,Athyva,True,NA,NA,NA,263,263,967
Athyva54788098,54788098,Athyva,True,NA,NA,NA,973,973,6240
Athyva54788099,54788099,Athyva,True,NA,NA,NA,6245,6725,NA
Athyva55050241,55050241,Athyva,True,NA,NA,NA,295,295,8251
Athyva55050243,55050243,Athyva,True,NA,NA,NA,8478,8478,9098
Athyva55050244,55050244,Athyva,True,NA,NA,NA,9103,9103,NA
Athyva55574529,55574529,Athyva,True,NA,NA,NA,530,530,973
Athyva55574530,55574530,Athyva,True,NA,NA,NA,1010,1010,1304
Athyva55574531,55574531,Athyva,True,NA,NA,NA,1395,2995,NA
Athyva56098817,56098817,Athyva,True,NA,NA,NA,690,690,NA
Athyva56360961,56360961,Athyva,True,NA,NA,NA,770,770,1194
Athyva56360962,56360962,Athyva,True,NA,NA,NA,1250,1250,1597
Athyva56885249,56885249,Athyva,True,NA,NA,NA,967,967,2996
Athyva56885250,56885250,Athyva,True,NA,NA,NA,3011,4611,NA
Athyva57147394,57147394,Athyva,True,NA,NA,NA,11657,11657,NA
Athyva57671681,57671681,Athyva,True,NA,NA,NA,1194,1194,NA
Athyva57933825,57933825,Athyva,True,NA,NA,NA,1304,1304,4612
Athyva57933833,57933833,Athyva,True,NA,NA,NA,4851,4851,5334
Athyva57933834,57933834,Athyva,True,NA,NA,NA,5347,5347,NA
Athyva58195969,58195969,Athyva,True,NA,NA,NA,1404,1884,NA
Athyva58720257,58720257,Athyva,True,NA,NA,NA,1490,1490,1813
Athyva58982408,58982408,Athyva,True,NA,NA,NA,11555,11555,NA
Athyva59244545,59244545,Athyva,True,NA,NA,NA,1597,1597,2831
Athyva59244546,59244546,Athyva,True,NA,NA,NA,2930,2930,3720
Athyva59506689,59506689,Athyva,True,NA,NA,NA,1730,1730,2088
Athyva59506690,59506690,Athyva,True,NA,NA,NA,2210,2210,2661
Athyva59506691,59506691,Athyva,True,NA,NA,NA,2690,2690,3225
Athyva59506692,59506692,Athyva,True,NA,NA,NA,3235,3235,3973
Athyva59506693,59506693,Athyva,True,NA,NA,NA,3991,3991,5781
Athyva59506695,59506695,Athyva,True,NA,NA,NA,10447,10447,11644
Athyva59506697,59506697,Athyva,True,NA,NA,NA,11656,11656,NA
Athyva59768833,59768833,Athyva,True,NA,NA,NA,1790,2830,NA
Athyva60030977,60030977,Athyva,True,NA,NA,NA,1813,1813,6222
Athyva60030978,60030978,Athyva,True,NA,NA,NA,6246,6246,6930
Athyva60030979,60030979,Athyva,True,NA,NA,NA,7109,7109,NA
Athyva60555265,60555265,Athyva,True,NA,NA,NA,2088,2088,NA
Athyva61079553,61079553,Athyva,True,NA,NA,NA,2271,2271,NA
Athyva61341697,61341697,Athyva,True,NA,NA,NA,2450,2450,2962
Athyva61341698,61341698,Athyva,True,NA,NA,NA,2995,2995,3991
Athyva61341700,61341700,Athyva,True,NA,NA,NA,5455,5455,5786
Athyva61341703,61341703,Athyva,True,NA,NA,NA,5934,5934,7805
Athyva61341705,61341705,Athyva,True,NA,NA,NA,7880,7880,8639
Athyva61341706,61341706,Athyva,True,NA,NA,NA,8644,8644,11267
Athyva62128129,62128129,Athyva,True,NA,NA,NA,2661,2661,NA
Athyva62652417,62652417,Athyva,True,NA,NA,NA,2962,2962,NA
Athyva63438849,63438849,Athyva,True,NA,NA,NA,3170,3170,4199
Athyva63438850,63438850,Athyva,True,NA,NA,NA,4207,4207,5275
Athyva63438851,63438851,Athyva,True,NA,NA,NA,5281,5281,5557
Athyva63438852,63438852,Athyva,True,NA,NA,NA,5571,5571,5908
Athyva63438853,63438853,Athyva,True,NA,NA,NA,5913,5913,NA
Athyva63700993,63700993,Athyva,True,NA,NA,NA,3225,3225,5089
Athyva63700998,63700998,Athyva,True,NA,NA,NA,5331,5331,5799
Athyva63701000,63701000,Athyva,True,NA,NA,NA,5826,5826,6183
Athyva63701001,63701001,Athyva,True,NA,NA,NA,6186,6186,7843
Athyva63701002,63701002,Athyva,True,NA,NA,NA,7849,7849,8644
Athyva63701003,63701003,Athyva,True,NA,NA,NA,8648,8648,NA
Athyva63963137,63963137,Athyva,True,NA,NA,NA,3225,3225,5058
Athyva63963138,63963138,Athyva,True,NA,NA,NA,5062,5062,NA
Athyva64225281,64225281,Athyva,True,NA,NA,NA,3410,3410,4207
Athyva64225282,64225282,Athyva,True,NA,NA,NA,4220,4220,NA
Athyva64749569,64749569,Athyva,True,NA,NA,NA,3475,3475,4231
Athyva64749570,64749570,Athyva,True,NA,NA,NA,4295,4295,4761
Athyva64749571,64749571,Athyva,True,NA,NA,NA,4775,4775,5058
Athyva64749573,64749573,Athyva,True,NA,NA,NA,5347,5347,NA
Athyva65011715,65011715,Athyva,True,NA,NA,NA,5058,5058,NA
Athyva65273857,65273857,Athyva,True,NA,NA,NA,3688,3688,4387
Athyva65273858,65273858,Athyva,True,NA,NA,NA,4408,4408,NA
Athyva65798147,65798147,Athyva,True,NA,NA,NA,3829,3829,4335
Athyva66060289,66060289,Athyva,True,NA,NA,NA,3720,3720,7901
Athyva66060290,66060290,Athyva,True,NA,NA,NA,8454,8454,9103
Athyva66060291,66060291,Athyva,True,NA,NA,NA,9106,9106,NA
Athyva66584577,66584577,Athyva,True,NA,NA,NA,3973,3973,4755
Athyva66584578,66584578,Athyva,True,NA,NA,NA,4761,4761,NA
Athyva66846721,66846721,Athyva,True,NA,NA,NA,3973,3973,5872
Athyva66846722,66846722,Athyva,True,NA,NA,NA,6183,6183,NA
Athyva67108865,67108865,Athyva,True,NA,NA,NA,3991,3991,4845
Athyva67108867,67108867,Athyva,True,NA,NA,NA,4902,4902,5347
Athyva67371009,67371009,Athyva,True,NA,NA,NA,4055,4055,4408
