,id,owner_name,owner_is_human,owner_result,is_army,is_building,is_worker,started_at,finished_at,died_at
JinairRogue100139009,100139009,JinairRogue,True,Loss,False,False,True,5855,5855,NA
JinairRogue100401153,100401153,JinairRogue,True,Loss,False,False,True,6087,6087,NA
JinairRogue100663297,100663297,JinairRogue,True,Loss,False,True,False,6239,6799,NA
JinairRogue100925441,100925441,JinairRogue,True,Loss,False,True,False,6264,6531,NA
JinairRogue101187586,101187586,JinairRogue,True,Loss,True,False,False,6380,6380,7855
JinairRogue101187587,101187587,JinairRogue,True,Loss,True,False,False,7863,7863,8317
JinairRogue101187589,101187589,JinairRogue,True,Loss,True,False,False,8359,8359,8893
JinairRogue101449729,101449729,JinairRogue,True,Loss,True,False,False,6380,6380,7565
JinairRogue101449730,101449730,JinairRogue,True,Loss,True,False,False,7568,7568,8560
JinairRogue101711873,101711873,JinairRogue,True,Loss,True,False,False,6385,6385,7584
JinairRogue101711881,101711881,JinairRogue,True,Loss,False,False,False,7734,7734,8331
JinairRogue101711888,101711888,JinairRogue,True,Loss,False,False,False,8454,8454,8972
JinairRogue101711891,101711891,JinairRogue,True,Loss,True,False,False,8998,8998,9183
JinairRogue101711898,101711898,JinairRogue,True,Loss,False,False,False,9414,9414,NA
JinairRogue101974017,101974017,JinairRogue,True,Loss,True,False,False,6387,6387,7892
JinairRogue101974026,101974026,JinairRogue,True,Loss,False,False,False,8244,8244,8707
JinairRogue102236161,102236161,JinairRogue,True,Loss,True,False,False,6398,6398,7960
JinairRogue102498305,102498305,JinairRogue,True,Loss,False,True,False,6458,6739,NA
JinairRogue102760451,102760451,JinairRogue,True,Loss,False,False,False,6552,6552,6866
JinairRogue103022593,103022593,JinairRogue,True,Loss,False,False,False,6476,6476,6759
JinairRogue103022594,103022594,JinairRogue,True,Loss,False,False,False,6762,6762,7116
JinairRogue103022595,103022595,JinairRogue,True,Loss,False,False,True,7118,7118,NA
JinairRogue103284738,103284738,JinairRogue,True,Loss,False,False,False,6486,6486,7018
JinairRogue103284739,103284739,JinairRogue,True,Loss,False,False,True,7024,7024,9133
JinairRogue103284740,103284740,JinairRogue,True,Loss,True,False,False,9139,9139,NA
JinairRogue103546881,103546881,JinairRogue,True,Loss,False,False,False,6478,6478,7135
JinairRogue103809026,103809026,JinairRogue,True,Loss,False,False,False,6544,6544,7024
JinairRogue103809027,103809027,JinairRogue,True,Loss,False,True,False,7031,7312,NA
JinairRogue104071169,104071169,JinairRogue,True,Loss,False,False,False,6482,6482,7118
JinairRogue104071170,104071170,JinairRogue,True,Loss,False,False,True,7120,7120,8873
JinairRogue104333316,104333316,JinairRogue,True,Loss,False,False,True,6584,6584,NA
JinairRogue104595458,104595458,JinairRogue,True,Loss,False,False,False,6548,6548,7120
JinairRogue104595459,104595459,JinairRogue,True,Loss,False,False,True,7123,7123,NA
JinairRogue105119746,105119746,JinairRogue,True,Loss,False,False,False,6663,6663,7123
JinairRogue105119747,105119747,JinairRogue,True,Loss,True,False,False,7135,7135,NA
JinairRogue105381891,105381891,JinairRogue,True,Loss,False,True,False,6710,7190,NA
JinairRogue106168321,106168321,JinairRogue,True,Loss,False,False,True,6756,6756,9619
JinairRogue106430467,106430467,JinairRogue,True,Loss,False,False,False,6975,6975,7558
JinairRogue106430468,106430468,JinairRogue,True,Loss,True,False,False,7563,7563,8955
JinairRogue106430471,106430471,JinairRogue,True,Loss,False,False,False,9444,9444,NA
JinairRogue106692609,106692609,JinairRogue,True,Loss,False,False,False,6758,6758,7563
JinairRogue106692610,106692610,JinairRogue,True,Loss,True,False,False,7565,7565,8193
JinairRogue106954753,106954753,JinairRogue,True,Loss,False,False,True,6759,6759,NA
JinairRogue107479041,107479041,JinairRogue,True,Loss,False,False,False,6766,6766,7565
JinairRogue107741186,107741186,JinairRogue,True,Loss,False,True,False,6975,7215,NA
JinairRogue108003329,108003329,JinairRogue,True,Loss,False,False,False,6998,6998,7568
JinairRogue108003330,108003330,JinairRogue,True,Loss,True,False,False,7571,7571,8469
JinairRogue108003339,108003339,JinairRogue,True,Loss,False,False,False,8694,8694,9139
JinairRogue108003340,108003340,JinairRogue,True,Loss,True,False,False,9176,9176,9306
JinairRogue108265473,108265473,JinairRogue,True,Loss,True,False,False,7018,7018,NA
JinairRogue108527618,108527618,JinairRogue,True,Loss,False,False,False,7080,7080,7571
JinairRogue109314050,109314050,JinairRogue,True,Loss,False,False,False,8724,8724,9294
JinairRogue110100483,110100483,JinairRogue,True,Loss,True,False,False,8455,8455,8828
JinairRogue110100489,110100489,JinairRogue,True,Loss,False,False,False,8892,8892,NA
JinairRogue110362628,110362628,JinairRogue,True,Loss,True,False,False,8685,8685,8989
JinairRogue110624770,110624770,JinairRogue,True,Loss,False,False,False,7320,7320,7863
JinairRogue110624771,110624771,JinairRogue,True,Loss,True,False,False,7867,7867,NA
JinairRogue110886913,110886913,JinairRogue,True,Loss,False,False,False,7238,7238,7751
JinairRogue111149057,111149057,JinairRogue,True,Loss,False,False,False,7279,7279,7754
JinairRogue111149059,111149059,JinairRogue,True,Loss,False,False,False,7764,7764,8359
JinairRogue111149060,111149060,JinairRogue,True,Loss,True,False,False,8364,8364,8463
JinairRogue111411212,111411212,JinairRogue,True,Loss,False,False,False,8484,8484,8998
JinairRogue111673345,111673345,JinairRogue,True,Loss,False,False,False,7283,7283,7867
JinairRogue111673347,111673347,JinairRogue,True,Loss,False,False,False,7892,7892,8364
JinairRogue111673348,111673348,JinairRogue,True,Loss,True,False,False,8366,8366,8516
JinairRogue111935490,111935490,JinairRogue,True,Loss,False,False,False,7319,7319,8045
JinairRogue112197633,112197633,JinairRogue,True,Loss,False,False,False,7287,7287,8138
JinairRogue112197638,112197638,JinairRogue,True,Loss,True,False,False,8629,8629,8739
JinairRogue112459778,112459778,JinairRogue,True,Loss,False,False,False,7323,7323,8131
JinairRogue112459779,112459779,JinairRogue,True,Loss,True,False,False,8135,8135,NA
JinairRogue112721925,112721925,JinairRogue,True,Loss,False,False,False,7399,7399,8135
JinairRogue112984065,112984065,JinairRogue,True,Loss,False,False,False,7327,7327,8366
